x,y
0.0,0.0
0.001,0.1004569009712702
0.002,0.2004699073005266
0.003,0.2995975664773139
0.004,0.3974032964282498
0.005,0.49345778624898223
0.006,0.58734135577169
0.007,0.6786462606110368
0.008,0.7669789296411635
0.009000000000000001,0.8519621222400817
0.01,0.9332369930935436
0.011,1.010465052875499
0.012,1.083330013713654
0.013000000000000001,1.1515395090030223
0.014,1.2148266778440426
0.015,1.2729516051506975
0.016,1.3257026092938144
0.017,1.37289737001066
0.018000000000000002,1.4143838902191264
0.019,1.450041286318139
0.02,1.479780402529987
0.021,1.503544245839577
0.022,1.521308239104468
0.023,1.533080290942137
0.024,1.5389006820414304
0.025,1.5388417685876268
0.026000000000000002,1.5330075045290634
0.027,1.5215327854419645
0.028,1.5045826177630963
0.029,1.4823511181514357
0.03,1.4550603487044778
0.031,1.4229589946867562
0.032,1.3863208923221586
0.033,1.3454434150527792
0.034,1.300645727470373
0.035,1.2522669168775045
0.036000000000000004,1.2006640131299027
0.037,1.146209908045394
0.038,1.0892911862345094
0.039,1.0303058797102196
0.04,0.9696611590663191
0.041,0.907770974373422
0.042,0.8450536592261881
0.043000000000000003,0.7819295115837381
0.044,0.7188183651759881
0.045,0.656137165301165
0.046,0.594297562813708
0.047,0.5337035399972558
0.048,0.47474908183512426
0.049,0.4178159059315686
0.05,0.3632712640026805
0.051000000000000004,0.3114658274479315
0.052000000000000005,0.2627316690344246
0.053,0.21738035217857032
0.054,0.17570113869731707
0.055,0.13795932522667387
0.056,0.10439471777291465
0.057,0.07522025307573366
0.058,0.050620774627144094
0.059000000000000004,0.030751970309898513
0.06,0.015739477699582838
0.061,0.00567816212058081
0.062,0.000631571563226907
0.063,0.000631571563226907
0.064,0.00567816212058081
0.065,0.015739477699582838
0.066,0.030751970309898735
0.067,0.05062077462714398
0.068,0.07522025307573355
0.069,0.10439471777291498
0.07,0.13795932522667365
0.07100000000000001,0.1757011386973173
0.07200000000000001,0.21738035217857044
0.073,0.26273166903442435
0.074,0.31146582744793094
0.075,0.3632712640026803
0.076,0.4178159059315685
0.077,0.47474908183512365
0.078,0.5337035399972556
0.079,0.5942975628137078
0.08,0.656137165301165
0.081,0.7188183651759879
0.082,0.7819295115837381
0.083,0.8450536592261887
0.084,0.9077709743734219
0.085,0.9696611590663191
0.08600000000000001,1.0303058797102203
0.08700000000000001,1.0892911862345094
0.088,1.1462099080453931
0.089,1.2006640131299031
0.09,1.2522669168775042
0.091,1.3006457274703724
0.092,1.3454434150527792
0.093,1.3863208923221584
0.094,1.4229589946867556
0.095,1.4550603487044782
0.096,1.4823511181514355
0.097,1.5045826177630963
0.098,1.5215327854419645
0.099,1.5330075045290634
0.1,1.5388417685876268
0.101,1.5389006820414304
0.10200000000000001,1.5330802909421373
0.10300000000000001,1.521308239104468
0.10400000000000001,1.5035442458395767
0.105,1.4797804025299872
0.106,1.4500412863181393
0.107,1.4143838902191266
0.108,1.3728973700106604
0.109,1.3257026092938144
0.11,1.2729516051506982
0.111,1.2148266778440429
0.112,1.151539509003022
0.113,1.0833300137136543
0.114,1.010465052875499
0.115,0.9332369930935432
0.116,0.8519621222400822
0.117,0.7669789296411637
0.11800000000000001,0.6786462606110362
0.11900000000000001,0.587341355771689
0.12,0.4934577862489825
0.121,0.39740329642825095
0.122,0.2995975664773147
0.123,0.20046990730052658
0.124,0.10045690097127154
0.125,4.898587196589413e-16
0.126,-0.10045690097127055
0.127,-0.2004699073005256
0.128,-0.2995975664773137
0.129,-0.39740329642825
0.13,-0.4934577862489815
0.131,-0.5873413557716897
0.132,-0.6786462606110373
0.133,-0.7669789296411632
0.134,-0.8519621222400817
0.135,-0.9332369930935442
0.136,-1.0104650528754988
0.137,-1.0833300137136541
0.138,-1.1515395090030225
0.139,-1.2148266778440426
0.14,-1.272951605150698
0.14100000000000001,-1.325702609293815
0.14200000000000002,-1.3728973700106608
0.14300000000000002,-1.4143838902191266
0.14400000000000002,-1.4500412863181396
0.145,-1.4797804025299865
0.146,-1.5035442458395765
0.147,-1.5213082391044679
0.148,-1.5330802909421375
0.149,-1.5389006820414304
0.15,-1.5388417685876268
0.151,-1.5330075045290636
0.152,-1.5215327854419645
0.153,-1.5045826177630963
0.154,-1.4823511181514362
0.155,-1.4550603487044786
0.156,-1.422958994686756
0.157,-1.3863208923221582
0.158,-1.3454434150527796
0.159,-1.3006457274703729
0.16,-1.2522669168775042
0.161,-1.2006640131299031
0.162,-1.1462099080453934
0.163,-1.0892911862345085
0.164,-1.03030587971022
0.165,-0.9696611590663193
0.166,-0.9077709743734208
0.167,-0.8450536592261884
0.168,-0.7819295115837381
0.169,-0.7188183651759869
0.17,-0.6561371653011652
0.171,-0.5942975628137076
0.17200000000000001,-0.5337035399972545
0.17300000000000001,-0.47474908183512426
0.17400000000000002,-0.41781590593156837
0.17500000000000002,-0.3632712640026794
0.176,-0.3114658274479325
0.177,-0.26273166903442535
0.178,-0.21738035217857032
0.179,-0.17570113869731774
0.18,-0.1379593252266741
0.181,-0.10439471777291476
